year;Mundo
1961;1.350646124
1962;1.771325829
1963;2.129054805
1964;2.098285602
1965;2.078406279
1966;2.11149613
1967;2.056633363
1968;2.070016827
1969;2.101932344
1970;2.092539037
1971;2.105956375
1972;2.008272411
1973;1.987783839
1974;1.935469062
1975;1.855430758
1976;1.795530536
1977;1.755798288
1978;1.754624493
1979;1.770105553
1980;1.754290796
1981;1.768189815
1982;1.808730285
1983;1.785406284
1984;1.745485473
1985;1.750556314
1986;1.77182785
1987;1.788635605
1988;1.773473656
1989;1.744529517
1990;1.745602351
1991;1.683926218
1992;1.627837279
1993;1.580278126
1994;1.536989231
1995;1.500729114
1996;1.48116096
1997;1.453169298
1998;1.418784211
1999;1.380520042
2000;1.353301754
2001;1.334839413
2002;1.313021889
2003;1.288671812
2004;1.274578649
2005;1.263371389
2006;1.256973192
2007;1.246524405
2008;1.246964833
2009;1.236250664
2010;1.222005624
2011;1.203814637
2012;1.238561834
2013;1.236383115
2014;1.221772682
2015;1.194424796
2016;1.175209564
2017;1.150884414
2018;1.103417575
2019;1.055963949
2020;1.011272201
2021;0.862131713
